Carrier,Score,Latency (ms),Download (Bps),Upload (Bps),Browser Speed (ms),Date,Latitude,Longitude,Timestamp
orange,366,309.6,771937.905729608,954925.110132159,221,2013-02-03 18:31:51,53.9635793065,-1.117704577,1111
t-mobile,145,867.5,1194312.66375546,66242.640317816,1064,2013-02-03 18:24:35,40.5078063,-74.2777359,1104
vodafone,427,253.9,1573332.31064238,1188855.57586837,196,2013-02-03 18:21:53,50.9263583859,-1.384514879,1101
wind,175,414.9,706833.907649897,115843.002197019,707,2013-02-03 18:20:29,43.6656,-79.76689,1100
idea,93,501.1,763675.353685778,94119.6449247395,4688.5,2013-02-03 18:13:31,28.5176755,77.0788421,1093
wind,124,402.6,1164645.56422995,25145.1550537468,2063,2013-02-03 18:12:29,43.6767,-79.76647,1092
vodafone-italy,281,239.3,827860.760770861,783498.795180723,539,2013-02-03 18:09:03,44.892911464,7.39172481,1089
singtel,232,350.2,1385967.56756757,391985.533453888,604,2013-02-03 18:05:11,1.3389263,103.7745567,1085
att,288,272.3,4196894.11764706,433150.976909414,725.5,2013-02-03 17:59:26,34.911,-85.02285,1079
airtel-india,102,1055.7,24517.4253041173,43601.6449132845,1402,2013-02-03 17:58:24,31.1694154739,77.7332382202,1078
att,281,286.3,3440221.3836478,526561.943319838,722.5,2013-02-03 17:58:20,34.911,-85.02285,1078
t-mobile,488,99.2,4500783.32419089,1449414.56166419,484,2013-02-03 17:43:06,39.8784734,-75.356253,1063
beeline,319,172.2,2498455.54202192,869390.374331551,721,2013-02-03 17:39:49,55.5470818,37.5223646,1059
hi3g-sweden,279,223.9,1751692.5704526,700255.563531946,669.5,2013-02-03 17:24:48,57.1803953,13.9932943,1044
digi,127,794.6,184641.807502757,43323.75474673,986.5,2013-02-03 17:22:45,5.9230426816,116.0511818435,1042
verizon,290,158.1,1322735.45058843,529707.303828401,504,2013-02-03 17:13:31,34.2620836834,-85.1702116851,1033
celcom-malaysia,154,981.8,1376665.77181208,271299.123904881,1407,2013-02-03 17:10:36,4.4935079221,114.0113921405,1030
telkomsel,110,530,908328.130189306,23904.426990798,2182.5,2013-02-03 17:07:32,2.09792,99.8307,1027
iusacell,121,467.6,1420766.75324675,58842.1655858845,2530,2013-02-03 17:05:58,20.6414429,-103.3303939,1025
verizon,193,436.9,472226.071942446,481825.635959496,863,2013-02-03 17:03:50,47.4835471,-111.3252046,1023
verizon,367,126.6,3812698.88475836,646854.111405836,513.5,2013-02-03 16:58:05,34.262128,-85.1702703,1018
sprint,49,3829.1,125016.044247383,96260.5220308877,10064.5,2013-02-03 16:57:59,36.5787692,-82.4728829,1017
verizon,182,207.4,394562.539071892,314409.669621273,1219,2013-02-03 16:54:29,34.2597666,-85.1724328,1014
vodafone-romania,369,485.6,2298943.1213225,681422.28431715,203.5,2013-02-03 16:41:16,46.507167779,24.6172690764,1001
digi,149,501.9,274201.383551115,87285.222137712,836,2013-02-03 16:35:15,3.0375555,101.5309686,995
cosmote-romania,137,530.5,357341.927616393,65411.9698239732,1034.5,2013-02-03 16:32:36,44.3202208,23.8071928,992
omantel,146,306.5,1111628.23465655,233558.242547588,2376.5,2013-02-03 16:03:43,23.606758,58.5493839,963
three,82,409,374739.80360813,157445.888144621,9068,2013-02-03 15:49:01,53.4485391,-2.2695738,949
rogers,123,545.4,680963.399452237,184762.95103703,2064.5,2013-02-03 15:38:00,49.88198,-97.11033,938
t-mobile-croatia,270,177.4,2939780.72375493,448176.430048243,923.5,2013-02-03 15:30:05,45.4421243,13.6622043,930
telkomsel,158,515.9,605708.548649048,204091.641385082,979,2013-02-03 15:27:06,0.8247772,109.4838971,927
verizon,352,127.8,1304440.06359301,243468.363908648,221.5,2013-02-03 15:25:30,28.5510921618,-81.5456051008,925
wind,240,233.1,1795389.05908096,522332.530120482,943.5,2013-02-03 15:10:31,43.6669559,-79.4363367,910
wind,325,103.2,3081084.49117537,530860.408163265,871,2013-02-03 15:09:50,43.6669559,-79.4363367,909
wind,372,166.9,2859856.39595678,1493807.04441041,987,2013-02-03 15:09:31,43.6669559,-79.4363367,909
three,263,178.7,1683407.4681986,424203.522504892,648.5,2013-02-03 15:07:24,53.1459408,-1.160557,907
verizon,158,162.1,1262879.48283823,120174.448687939,3232,2013-02-03 14:54:46,39.9696918,-74.2396664,894
zain-bahrain,185,1560.4,242548.421426038,131667.139096983,426.5,2013-02-03 14:39:29,26.2215454,50.6527105,879
sprint,1226,33.6,1.1301553719008265E7,5704421.05263158,642.5,2013-02-03 14:11:39,40.6292382,-73.9633213,851
t-mobile,130,411.1,164154.372486645,91540.5405405405,1265.5,2013-02-03 14:05:20,37.51185552,-77.24085128,845
orange-france,300,208.9,1863062.67029973,495406.805485018,410,2013-02-03 13:38:50,46.2104492055,5.2430663136,818
orange-france,300,209.8,1595358.35115691,617768.207726409,443,2013-02-03 13:35:45,46.2104458019,5.2430695047,815
sprint,163,243.4,375890.049477735,364588.301252102,1846,2013-02-03 13:04:29,36.2982612,-82.3977689,784
vodafone-italy,263,354.6,3008774.47744774,519550.466045273,733,2013-02-03 13:02:01,45.6697007,9.8173437,782
vodafone-albania,248,443.2,2334925.44109277,562060.501296456,751.5,2013-02-03 12:58:30,41.3309166,19.8384192,778
t-mobile-uk,249,306.2,880168.204248016,562222.478386167,548,2013-02-03 12:42:30,51.5593604185,0.1884144545,762
dtac,211,542.2,840496.619545175,270621.722846442,503.5,2013-02-03 12:24:01,13.7413521667,100.5122327641,744
entel-chile,194,410.9,2233241.15405553,548317.032040472,2267,2013-02-03 12:23:58,-33.4178258,-70.5964998,743
globe-telecom,283,438.6,593613.659383591,245274.327382449,223,2013-02-03 12:08:02,14.5639912078,121.0300820796,728
virgin-mobile-uk,407,252.7,412307.939698492,1410637.74403471,234,2013-02-03 11:58:04,51.6074889134,-0.2918913261,718
vodafone-india,272,593.1,3916433.41288783,232639.160505605,469,2013-02-03 11:44:30,19.0771994377,72.9055528035,704
omantel,191,311.6,1327873.11862761,464060.894386299,1518,2013-02-03 11:13:05,23.63667904,58.20752248,673
airtel-india,252,434.1,350069.459851523,583057.979677227,411.5,2013-02-03 11:10:34,26.8755046,80.9922134,670
vodafone-czech-republic,358,260.1,4141811.20646138,1497246.35456639,1484.5,2013-02-03 10:52:57,50.0852288,14.3652552,652
vodafone-india,283,366.2,1551612.70801815,909516.083916084,617.5,2013-02-03 10:49:51,19.1732007,72.95155,649
singtel,227,411.6,1201835.06664714,380443.057722309,557,2013-02-03 10:38:08,1.3280085,103.7529115,638
digi,196,420.6,963245.832355013,309865.311308767,744.5,2013-02-03 10:21:10,6.1170751,102.2410367,621
bell,158,398.4,1804073.87862797,277000.14198495,2318,2013-02-03 09:59:49,10.48662,-73.26163,599
virgin-mobile-uk,426,211.9,409509.283290078,1426105.26315789,214,2013-02-03 09:47:31,51.2354652251,-0.5591523553,587
att,236,625.5,1314049.96796925,580974.38951757,599,2013-02-03 09:44:32,40.6275479,-105.1718605,584
att,278,141.2,2570466.16541353,693534.305012442,1468,2013-02-03 09:15:08,30.346615,-95.174125,555
telkomsel,150,639.9,405341.764647762,261797.101449275,1109,2013-02-03 08:48:30,-8.7147968,115.1784919,528
verizon,195,297.8,1973287.15728716,401752.883031302,1653.5,2013-02-03 08:46:06,41.1034045089,-100.7228761074,526
t-mobile-croatia,110,714.3,149042.306225137,71055.9440559441,1518.5,2013-02-03 08:32:56,46.0219611814,16.5476551627,512
verizon,392,157.3,3153315.91083782,1412680.66618393,727,2013-02-03 08:28:55,37.7016443,-121.8572079,508
vodafone,107,630.3,195957.297413484,62451.1668107174,1692,2013-02-03 08:13:52,-29.79217,30.97811,493
vodafone-australia,219,446.9,957289.464473224,786340.991535671,1127.5,2013-02-03 07:44:15,-27.5879777326,152.7536184607,464
globe-telecom,183,713.2,862405.717889426,360279.224376731,829,2013-02-03 07:28:25,15.4869105,120.9787789,448
vodafone-india,96,752.5,661634.384323845,107565.308485417,3238.5,2013-02-03 07:23:30,24.7938024,93.9480573,443
wataniya-telecom,247,415,1070999.60840621,636928.501469148,587,2013-02-03 07:03:43,29.3413433,47.9948788,423
telus,326,217.6,3763728.44036697,986804.248861912,991.5,2013-02-03 06:52:13,49.2634572173,-123.1160528623,412
vodafone,207,793.3,1750571.36761255,312145.92,675,2013-02-03 06:42:53,-26.24241,28.26596,402
mts,304,171.7,2350982.23495702,575829.988193625,560.5,2013-02-03 06:39:36,49.86634,-97.26111,399
vodafone-india,170,370.5,289752.728043225,500105.613945142,1462.5,2013-02-03 06:29:38,13.0504798889,80.098449707,389
telus,396,200.6,2969572.20412595,1248983.3546735,423.5,2013-02-03 05:59:15,49.2254973101,-123.0988067689,359
t-mobile,315,316,5327875.32467532,658869.300911854,914.5,2013-02-03 05:57:16,29.9086032,-95.3496981,357
wind,145,266.3,1101037.03703704,59604.4117197764,1792,2013-02-03 05:44:49,43.7201814651,-79.2742462158,344
sprint,399,103.2,3946574.31457431,1313745.45454545,1322,2013-02-03 05:37:13,38.0166843,-121.8887541,337
cell-c,170,509,1437695.46171369,658202.429149798,3663,2013-02-03 05:35:26,-26.015288,28.109562,335
mts,318,194.4,2298943.1213225,766566.601178782,534.5,2013-02-03 04:50:56,49.86634,-97.26111,290
mts,625,87.1,5473601.06737825,1899622.20058423,248.5,2013-02-03 04:49:05,49.8666066165,-97.2572838609,289
rogers,296,109.5,1011455.62130178,664479.564032698,781.5,2013-02-03 04:37:15,45.3258711,-75.8282462,277
telus,477,224.6,7814217.14285714,505548.587717025,219.5,2013-02-03 04:29:10,50.208772296,-66.3866317044,269
celcom-malaysia,279,399.5,1032326.11977856,292359.058894051,267,2013-02-03 04:27:15,1.4751978591,103.7627525815,267
verizon,855,84.6,7267429.58370239,3626230.48327138,211.5,2013-02-03 04:24:37,31.98427475,-81.2204074397,264
celcom-malaysia,201,459.9,868338.23685046,201353.287232945,553.5,2013-02-03 04:09:16,1.5240845,110.3441658,249
verizon,251,253.1,661367.725294213,628110.753380554,612,2013-02-03 03:59:41,40.672993,-80.5802631,239
wind,101,65616.6,1372979.91967872,238.8318136856,2018.5,2013-02-03 03:52:31,43.66296,-79.68851,232
t-mobile,527,115.7,6569197.75820657,1379711.45685997,377,2013-02-03 03:41:53,39.878127,-75.3600663,221
t-mobile,441,88.3,6164483.84673178,264458.723058154,346,2013-02-03 03:41:44,39.878127,-75.3600663,221
t-mobile,484,99.2,4699271.47766323,1159876.33769322,369.5,2013-02-03 03:41:24,39.878127,-75.3600663,221
t-mobile,522,96.8,5769991.56118144,1398503.22580645,411.5,2013-02-03 03:41:11,39.8781962,-75.3593037,221
digi,120,434.8,360735.458342493,130872.207687664,1891,2013-02-03 03:36:53,4.3818089,100.9708099,216
t-mobile,538,81.7,4675172.64957265,1607011.53212521,431,2013-02-03 03:35:57,39.878127,-75.3600663,215
t-mobile,520,87.5,6780932.23140496,995363.265306123,383,2013-02-03 03:33:47,39.878127,-75.3600663,213
t-mobile,498,87.1,5128080,1164723.58208955,413,2013-02-03 03:23:47,39.8784734,-75.356253,203
t-mobile,551,100.9,8196731.26873127,1152340.22445363,370.5,2013-02-03 03:21:18,39.878127,-75.3600663,201
t-mobile,542,94.6,5600633.44709898,1485843.10738766,361.5,2013-02-03 03:21:03,39.878127,-75.3600663,201
t-mobile,537,107,6220567.09628506,1407584.41558442,348,2013-02-03 03:20:40,39.878127,-75.3600663,200
t-mobile,543,94.5,6543004.784689,1565739.96789727,500.5,2013-02-03 03:18:57,39.878127,-75.3600663,198
t-mobile,422,100.5,4255668.04979253,914204.311152765,520,2013-02-03 03:18:43,39.878127,-75.3600663,198
t-mobile,510,97.7,7165875.98253275,1293708.22281167,603,2013-02-03 03:17:57,39.8772926,-75.3566716,197
vodafone-india,258,502.9,1201307.17423133,770806.795732912,593.5,2013-02-03 02:27:22,22.4910963,88.3620148,147
wind,341,87.2,3536606.89655172,301998.761609907,712,2013-02-03 02:12:49,43.6496947,-79.375283,132
telus,198,328.4,867878.993018828,846015.611448395,2576.5,2013-02-03 01:52:42,49.26548,-122.7866,112
free-mobile,287,244.5,1431924.60732984,630750.727449079,466.5,2013-02-03 01:48:25,48.737138908,7.7048811607,108
three,221,498.7,1766780.36175711,515568.710359408,854.5,2013-02-03 01:16:27,52.48853,-1.77828,76
rogers,194,214.6,1050566.96542894,235503.621438918,1069.5,2013-02-03 01:14:02,50.4460876805,-104.5588027832,74
three-denmark,375,224.8,2319742.15436811,1261909.44372574,441,2013-02-03 01:13:07,56.03202899,9.89669087,73
mts,282,129.4,1826564.55921638,197921.477122857,510,2013-02-03 01:08:32,43.6510363,-79.3765378,68
wind,496,84.4,5128080,1657529.31180969,941,2013-02-03 00:30:07,43.6544459,-79.3809514,30
sprint,178,247.1,1442244.33116541,194604.688279302,1382.5,2013-02-03 00:26:09,30.304649,-97.7058562,26
t-mobile,236,597.9,1886190.34482759,614654.064272212,776.5,2013-02-03 00:22:30,47.04768,-122.89856,22
sprint,428,149.2,5484577.54010695,1200561.23076923,643.5,2013-02-03 00:22:08,25.8334691,-80.2246907,22
t-mobile,387,100.9,3716000,804831.683168317,622,2013-02-03 00:14:27,39.8784734,-75.356253,14
t-mobile-uk,280,201.9,3814471.40864714,526561.943319838,1090.5,2013-02-03 00:09:41,53.3617362,-2.7632385,9
singtel,237,814.6,428702.022049219,586387.736699729,448.5,2013-02-02 23:49:34,1.3284852953,103.9235716777,1429
verizon,201,259.3,723156.002115283,486754.491017964,1122.5,2013-02-02 23:45:01,35.1810422661,-80.7540436271,1425
m1,234,356.1,1233452.79615153,611379.504857412,778,2013-02-02 23:36:47,1.3760797,103.941515,1416
sprint,138,436.5,21949.8719913965,10601.4574265173,856,2013-02-02 23:36:13,40.9246129403,-73.9004207589,1416
sprint,155,260.8,366111.641604569,308933.016627078,1779,2013-02-02 23:07:02,41.8274355,-71.4527156,1387
t-mobile,203,156.4,503988.206388206,700758.620689655,3165.5,2013-02-02 22:46:01,45.0521643,-92.807121,1366
bell,970,59.7,6971051.82667799,4297162.99559471,205,2013-02-02 22:40:01,43.4597192612,-80.5190016703,1360
bell,829,59.3,8654987.34177215,2654302.04081633,225.5,2013-02-02 22:38:59,43.4595814756,-80.5192363579,1358
sasktel,396,76.9,4588885.90604027,511513.371788149,740,2013-02-02 22:37:29,50.4152626,-104.6041401,1357
att,126,437.1,737455.32985799,125331.620197867,1962,2013-02-02 22:19:41,47.6183700562,-122.1226272583,1339
three,208,210.3,230611.540515473,549552.676056338,1117.5,2013-02-02 22:16:18,51.0058281994,-2.1934591373,1336
t-mobile-uk,277,341.6,3014301.24908156,920675.790467201,1193.5,2013-02-02 21:52:40,52.5196546413,-2.0850033722,1312
verizon,617,77.6,4192605.00766479,1674602.5751073,198.5,2013-02-02 21:51:25,40.2874412388,-75.8387015854,1311
videotron-ca,354,111.7,4300276.72955975,821090.909090909,1213,2013-02-02 21:45:45,45.3665975304,-73.5591968511,1305
free-mobile,235,265,2178106.7162198,699251.612903226,1626.5,2013-02-02 21:43:46,43.6594524859,7.1661795597,1303
vodafone-spain,285,157.1,1351272.72727273,595880.268784362,617.5,2013-02-02 21:40:57,42.1389653,-0.4128975,1300
bell,460,94.8,6095786.03268945,1291139.64262078,1026.5,2013-02-02 21:34:11,44.2839929,-78.3269268,1294
virgin-mobile-uk,349,125.7,3074158.1116523,1038824.28115016,1028,2013-02-02 21:21:17,53.8096121,-1.6349701,1281
telus,393,187,3830498.59943978,1962688.12877264,2503.5,2013-02-02 20:56:19,53.4798407592,-113.4087811299,1256
virgin-mobile-uk,464,118.1,4699271.47766323,1768732.54759746,944.5,2013-02-02 20:51:45,51.4942212,-3.1746878,1251
verizon,120,1512.3,17148.654325658,14084.3801438101,887.5,2013-02-02 20:50:48,33.9382317406,-118.3724985721,1250
bell,288,209.7,1907679.14438503,847853.976531943,810.5,2013-02-02 20:48:12,43.9114324,-80.1010364,1248
clearwire,250,262,2198533.76205788,575320.554408729,917.5,2013-02-02 20:44:49,33.9192166616,-83.9967335674,1244
vodafone-italy,473,177.2,2091493.24496559,1476844.81453444,216.5,2013-02-02 20:33:19,45.4320163135,9.1813960042,1233
t-mobile-poland,125,597.3,196276.056742339,90896.5195918557,1241,2013-02-02 20:28:43,51.11116675,17.05074291,1228
t-mobile-uk,278,285.3,2116308.48594274,1022490.56603774,1130,2013-02-02 20:12:24,51.4264099497,-0.1257506019,1212
telus,299,116,2342926.32781268,192340.727595386,514,2013-02-02 19:56:17,51.04832,-114.075625,1196
telus,295,131.9,3946574.31457431,294166.46562123,908,2013-02-02 19:45:22,51.04844,-114.076983,1185
t-mobile,350,240.1,1017854.85671753,1450492.19330855,545.5,2013-02-02 19:38:21,34.5664966,-118.0586075,1178
u-mobile,239,501.2,1163984.67867783,620124.602670057,614.5,2013-02-02 19:37:09,3.124723,101.7549552,1177
virgin-mobile-uk,350,166.5,3489973.6282433,1556992.81723863,2683,2013-02-02 19:08:43,52.4883245134,-1.8584548575,1148
clearwire,227,139.1,608042.685638061,560606.896551724,1475.5,2013-02-02 19:06:08,38.96002918,-76.92549822,1146
virgin-mobile-uk,165,337.4,1537367.06014615,329880.284071694,2217.5,2013-02-02 19:02:29,52.48697,-1.86364,1142
bell,332,186.4,2252863.26194399,1005106.64605873,636.5,2013-02-02 18:52:41,51.285564,-114.0098803,1132
vodafone-india,154,1175.8,37583.6673369642,21041.8050821865,548.5,2013-02-02 18:48:43,12.9237083,77.547106,1128
sprint,259,248.6,4121008.5384229,338523.685580427,1056,2013-02-02 18:40:47,40.7696932,-82.5320462,1120
three,240,544,998530.850675429,578733.906852566,534.5,2013-02-02 18:27:48,51.4454896,-0.3331106,1107
vibo,158,520.9,1210344.88862664,171388.210489326,1157,2013-02-02 18:13:14,24.7725233037,121.0210889529,1093
orange,265,536.4,3163040.86353123,574473.498233216,697,2013-02-02 18:02:09,44.61408,24.56293,1082
rogers,305,140.5,2391410.08452346,417485.983308367,539,2013-02-02 18:00:39,43.413739116,-79.7077108082,1080
airtel-india,161,527.2,687122.351561846,383132.7572663,1370.5,2013-02-02 17:27:33,22.91543,72.435448,1047
virgin-mobile-uk,263,285.4,2700766.29361422,506862.042088854,733,2013-02-02 17:26:38,52.3990876353,-1.7905423647,1046
verizon,235,218.2,633340.640679274,483857.142857143,680,2013-02-02 17:23:21,43.1468361,-77.6262113,1043
o2,162,1579.6,774927.087268606,110853.571225638,657,2013-02-02 17:18:51,51.25169,6.76681,1038
sprint,158,272.2,275139.264276852,302513.878120639,1543.5,2013-02-02 16:57:03,39.1819754,-76.003407,1017
sprint,228,430.4,250999.663495365,494904.109589041,485,2013-02-02 16:44:43,42.5631261897,-83.1293608435,1004
att,345,135.7,2362490.06622517,965320.138545275,693.5,2013-02-02 16:35:59,41.5192994,-81.6486415,995
virgin-mobile-uk,271,220.2,765028.251748252,527131.045663334,447.5,2013-02-02 16:02:41,52.6194817614,-2.1273777448,962
airtel-india,129,415.3,419968.674822132,244016.510318949,2069,2013-02-02 15:57:35,28.6524224,77.1624484,957
megafon,149,485.4,1037810.2706805,202523.824353784,1483.5,2013-02-02 15:22:39,53.2006912231,50.2439804077,922
verizon,551,112.7,5945600,2146217.82178218,681,2013-02-02 15:03:37,39.5633712,-76.3676591,903
t-mobile,111,352.8,969505.84898972,194799.001497753,5410,2013-02-02 15:02:17,41.824867895,-87.68636968,902
vodacom-south-africa,255,446.7,1150438.58665171,518032.926181625,444.5,2013-02-02 14:45:58,-26.1633605,27.6894316,885
orange,502,158.5,3763728.44036697,1432387.66519824,228,2013-02-02 14:38:11,51.2080243019,-1.4789997506,878
free-mobile,216,277.7,484409.493446688,577022.182786158,887,2013-02-02 14:16:50,43.6325773994,3.8725715432,856
globe-telecom,216,442.5,1151568.84210526,319193.717277487,580,2013-02-02 13:49:38,16.392661961,120.5872984328,829
rogers,395,107.5,3308438.70967742,786024.174053183,449,2013-02-02 13:07:10,43.8796720564,-79.4354641384,787
virgin-mobile-uk,419,234.4,421977.370911335,1368100.98176718,208.5,2013-02-02 13:01:33,52.5467437031,-1.9813610189,781
o2,144,794.9,703380.02571796,57009.2048742001,900.5,2013-02-02 12:50:30,50.91748,-1.40661,770
verizon,279,405.3,4211975.35934292,419912.1825226,673,2013-02-02 12:38:44,40.7049272,-74.0098153,758
vodafone-netherlands,271,191.8,2666534.93662658,277472.905703314,586.5,2013-02-02 12:27:20,53.0167926,6.5837951,747
three,263,286,1820889.48069241,502682.813707807,549.5,2013-02-02 12:07:57,54.8794156301,-1.7657944363,727
three,313,172.7,1937866.79263108,733977.426636569,544.5,2013-02-02 11:52:13,51.4325053,0.4998234,712
att,429,144.5,2623897.66549408,869777.9759251,226.5,2013-02-02 11:42:28,34.0872614883,-117.2924089589,702
orange,93,5202.4,859604.819277108,66850.9748826371,2497,2013-02-02 11:34:41,51.45911,0.04434,694
vodafone-india,104,4479.5,38497.8346244258,141308.996088657,1471.5,2013-02-02 11:19:39,25.6094422,85.0731224,679
digi,211,463.2,879696.365390801,299817.427385892,560.5,2013-02-02 11:17:40,3.2941404,101.4724739,677
three,431,158.1,2458773.74887624,777565.563969709,191.5,2013-02-02 11:14:59,55.8756600736,-4.364920873,674
orange,139,439.5,1203774.64788732,178344.638449584,2015,2013-02-02 11:00:53,53.0534763167,-2.3310412833,660
sprint,242,297.8,1239227.91119166,526135.922330097,654,2013-02-02 10:50:32,36.0149606,-84.2505329,650
vodafone-india,144,952.5,144303.065477761,130513.245919187,795.5,2013-02-02 10:47:39,25.6100751,85.0731948,647
free-mobile,296,154.5,1077610.71710008,534789.473684211,455,2013-02-02 10:41:02,48.89093,2.562897,641
vodafone-romania,150,400.8,1726626.26262626,445312.029217074,5604,2013-02-02 10:31:54,45.7499027252,21.2349843979,631
base,325,175,1772505.50874919,730131.736526946,433,2013-02-02 10:09:52,50.819582566,4.4067489281,609
vodafone-spain,267,175.5,2797452.43777702,538777.133388567,1111.5,2013-02-02 10:06:16,41.3964527,2.201986,606
three,178,389.9,716087.27526619,484097.270471464,1384.5,2013-02-02 09:35:13,50.7334028438,-1.8526998004,575
telkomsel,234,470.9,678485.735549492,460012.261259137,472.5,2013-02-02 09:33:33,-6.2443127,106.8038261,573
virgin-mobile-uk,472,134.5,2989044.80874317,2036442.58872651,621.5,2013-02-02 09:25:45,55.9326048,-4.0204125,565
emt,345,176.6,1869429.93848257,1100345.17766497,556.5,2013-02-02 09:06:55,59.4882494,24.8328128,546
vodafone-australia,148,378.8,1270112.69349845,311996.161842316,2550,2013-02-02 08:41:22,-37.9209317,145.0830964,521
sprint,115,672.1,790303.217106531,311249.52137843,3893.5,2013-02-02 08:38:46,31.6474662,-96.9987462,518
t-mobile,528,101,3354426.81929681,1353859.81956974,215,2013-02-02 08:35:23,25.69244291,-80.3113736199,515
sprint,144,292.9,473698.2853184,333261.359754014,2407,2013-02-02 08:31:40,33.7672704,-118.1589363,511
sprint,160,272.4,532510.903426791,511647.521636507,3000,2013-02-02 08:30:00,33.7673179,-118.1612906,510
celcom-malaysia,316,456.8,981920.536141695,582883.776516283,238.5,2013-02-02 08:25:02,5.5182730591,100.4917010384,505
o2,113,495.1,684828.311493198,41986.6996664156,1991,2013-02-02 08:24:33,52.23052,21.00424,504
verizon,189,185.3,658395.763119884,325531.787084932,1393.5,2013-02-02 08:21:31,40.3092537588,-77.155981036,501
orange,98,1072.8,539336.619996056,19570.3752746095,1915,2013-02-02 08:19:16,52.2315925284,21.0059382356,499
vodacom-south-africa,365,370.4,5131287.05440901,887585.077343039,522,2013-02-02 07:59:18,-34.1301294,18.9037038,479
vodacom-south-africa,326,379.7,4632935.06493507,719362.831858407,609.5,2013-02-02 07:58:44,-34.1301294,18.9037038,478
vodacom-south-africa,357,395.2,5058525.27743526,845648.894668401,518.5,2013-02-02 07:57:42,-34.1532841203,18.8953880726,477
vodacom-south-africa,300,382.2,1956815.64512282,981837.946653246,592.5,2013-02-02 07:56:43,-34.1532841203,18.8953880726,476
vodafone-australia,249,485.7,1074928.33748199,468406.242496999,432.5,2013-02-02 07:27:11,-42.864921111,147.3167273565,447
verizon,158,315.1,775953.092491016,34790.4986090306,979,2013-02-02 07:20:00,34.2449827725,-118.5373393447,440
idea,234,343.6,1454516.57507534,881967.450271248,1432,2013-02-02 06:57:58,28.5091295242,77.2497625351,417
verizon,295,164.6,1434427.97202797,591185.454545455,520.5,2013-02-02 06:46:10,35.2621184,-106.6731784,406
t-mobile-uk,351,171.7,4082053.73134328,508712.385919166,431.5,2013-02-02 06:34:05,51.4049728867,-0.1618469227,394
turkcell,273,387.7,1391845.29262087,797592.804578904,573,2013-02-02 06:33:09,40.9422106,29.1209887,393
singtel,276,542.7,1430426.77824268,200897.126969416,255,2013-02-02 06:19:30,1.3093673989,103.8468118744,379
vodafone-australia,255,335,1319332.368548,712792.108147607,678.5,2013-02-02 06:09:47,-33.488722,151.321064,369
mobily,198,402.3,1564333.26978074,59157.9841106192,603.5,2013-02-02 06:09:32,21.3358778,39.9471674,369
vodafone-india,197,424.7,529589.362938101,643865.346534653,1154.5,2013-02-02 06:06:33,22.5350447507,88.3535600991,366
verizon,437,117.2,3782816.04426003,1492664.11629686,684,2013-02-02 05:20:40,37.6856481,-92.664671,320
verizon,461,116.7,3676043.01075269,1609663.36633663,567.5,2013-02-02 05:19:50,37.6803776,-92.6643579,319
verizon,489,117.8,5089905.70719603,1636671.1409396,582.5,2013-02-02 05:19:32,37.6856481,-92.664671,319
verizon,460,120,4186187.75510204,1582248.17518248,609.5,2013-02-02 05:16:36,37.6684903,-92.6550759,316
verizon,435,120.7,3689266.18705036,1391520.68473609,576,2013-02-02 05:16:00,37.6856481,-92.664671,316
dtac,171,638.8,201263.96349989,90307.4572975975,550.5,2013-02-02 05:09:01,15.6494,103.58266,309
dtac,167,786.6,167724.769516957,90769.6459312334,549,2013-02-02 04:56:53,15.657925,103.58099,296
t-mobile,268,117.3,1113287.38127544,596062.328139322,1082,2013-02-02 04:31:46,38.6809009,-121.2797001,271
verizon,506,146,3565809.64797914,1980621.31979695,388.5,2013-02-02 04:14:07,34.2529101,-118.6053654,254
verizon,338,194,2692788.97276009,846015.611448395,517,2013-02-02 04:12:05,34.2572027,-118.6012248,252
clearwire,364,179.6,2431810.31416716,894093.492208983,385.5,2013-02-02 04:10:46,34.2571661,-118.6011874,250
celcom-malaysia,214,389.2,1062676.85532962,292183.914931856,580.5,2013-02-02 04:05:15,3.07427,101.51775,245
vodafone,118,1547.1,993813.953488372,200443.028870852,2162,2013-02-02 03:48:50,-23.95334,31.14533,228
globe-telecom,151,604.4,168420.222920131,194565.872145208,891.5,2013-02-02 03:16:55,14.5354161,121.0524247,196
metropcs,97,466.7,313823.981640849,93046.7878094148,3021.5,2013-02-02 02:55:54,28.125260175,-81.937758,175
att,106,1116,586317.564670573,150452.070640858,2264.5,2013-02-02 02:50:18,36.42378,-119.10538,170
telus,238,322.5,1903695.59164733,284182.374362709,555,2013-02-02 02:47:05,49.3363266439,-123.0963055977,167
fareastone,128,1351,36905.7713846195,10257.4844632323,790.5,2013-02-02 01:53:15,25.1338253,121.7652156,113
t-mobile,325,161.6,2752407.91680644,1129000,1231,2013-02-02 01:43:29,38.8447751,-94.3526591,103
airtel-india,163,438.3,1186712.17818918,112717.356135891,1008,2013-02-02 01:31:23,20.1565759,72.7831822,91
claro-brazil,165,1039.9,286945.792823669,88348.5191558736,569,2013-02-02 01:26:51,-1.3709087,-48.4789136,86
t-mobile-uk,139,327.6,884723.743799871,301858.579606994,3073.5,2013-02-02 01:19:50,50.9107715,-1.4187646,79
virgin-mobile-uk,384,201.2,1935124.52830189,688881.355932204,218,2013-02-02 01:15:54,51.4950728391,-3.167397797,75
mts,208,513.6,1622489.2228594,295234.866828087,687.5,2013-02-02 01:00:15,49.91418,-96.87003,60
